Czas2,Czas,Pressure - leak line,Temperature - leak line,Pressure - output,Temperature - suction line,Temperature - output,Flow - leak line,Flow - output,Temp. diff,stan
2023-03-02 14:40:26+00:00,2023-03-02 14:40:26+00:00,0.17304347826086955,33.648260869565206,-0.3391304347826085,17.951739130434778,17.31434782608695,0.0,-0.533478260869565,15.696521739130429,0
2023-03-02 14:40:27+00:00,2023-03-02 14:40:27+00:00,0.17425531914893616,33.64659574468088,-0.4059574468085108,17.94723404255321,17.3091489361702,0.0,-0.5248936170212767,15.699361702127671,0
2023-03-02 14:40:28+00:00,2023-03-02 14:40:28+00:00,0.17632653061224476,33.649183673469416,-0.3687755102040815,17.950612244897975,17.31673469387756,0.0,-0.5385714285714288,15.69857142857144,0
2023-03-02 14:40:29+00:00,2023-03-02 14:40:29+00:00,0.176938775510204,33.64673469387758,-0.40020408163265303,17.95244897959185,17.31265306122448,0.0,-0.5283673469387759,15.694285714285733,0
2023-03-02 14:40:30+00:00,2023-03-02 14:40:30+00:00,0.17418604651162786,33.64488372093025,-0.2655813953488371,17.95000000000001,17.310232558139532,0.0,-0.5327906976744189,15.694883720930243,0
2023-03-02 14:40:31+00:00,2023-03-02 14:40:31+00:00,0.17394736842105257,33.64894736842106,-0.40657894736842104,17.949210526315795,17.304736842105253,0.0,-0.5294736842105265,15.699736842105267,0
2023-03-02 14:40:32+00:00,2023-03-02 14:40:32+00:00,0.17974358974358973,33.64538461538462,-0.36615384615384616,17.950512820512827,17.31282051282051,0.0,-0.526923076923077,15.694871794871794,0
2023-03-02 14:40:33+00:00,2023-03-02 14:40:33+00:00,0.1738888888888889,33.643888888888895,-0.4897222222222221,17.951944444444447,17.316666666666666,0.0,-0.5338888888888886,15.691944444444449,0
2023-03-02 14:40:34+00:00,2023-03-02 14:40:34+00:00,0.1757575757575757,33.648484848484834,-0.42606060606060603,17.95121212121212,17.307575757575755,0.0,-0.5287878787878787,15.697272727272715,0
2023-03-02 14:40:35+00:00,2023-03-02 14:40:35+00:00,0.17419354838709677,33.644516129032255,-0.45387096774193547,17.950967741935482,17.301612903225802,0.0,-0.526774193548387,15.693548387096772,0
2023-03-02 14:40:36+00:00,2023-03-02 14:40:36+00:00,0.1793333333333333,33.642666666666656,-0.48466666666666675,17.949333333333332,17.303333333333338,0.0,-0.5253333333333334,15.693333333333324,0
2023-03-02 14:40:37+00:00,2023-03-02 14:40:37+00:00,0.17666666666666664,33.643666666666654,-0.37033333333333335,17.949999999999996,17.303333333333338,0.0,-0.5453333333333334,15.693666666666658,0
2023-03-02 14:40:38+00:00,2023-03-02 14:40:38+00:00,0.17407407407407405,33.64481481481481,-0.36407407407407405,17.949259259259254,17.31296296296297,0.0,-0.5411111111111112,15.695555555555554,0
2023-03-02 14:40:39+00:00,2023-03-02 14:40:39+00:00,0.17230769230769233,33.64692307692306,-0.7123076923076924,17.953076923076917,17.29384615384615,0.0,-0.5207692307692308,15.693846153846142,0
