Index,Time,Applied torque,Pressure - leak line,Temperature - leak line,Pressure - output,Temperature - suction line,Temperature - output,Flow - leak line,Flow - output,Sensor 1,Sensor 2,Sensor 3,Temp. diff,stan
2024-01-03 09:14:16+00:00,2024-01-03 09:14:16+00:00,9.476153846153847,0.12384615384615384,30.78192307692307,0.0,19.295,19.069615384615386,-0.03000000000000002,-0.5446153846153848,6.4e-05,4.7e-05,8.2e-05,11.48692307692307,1
2024-01-03 09:14:17+00:00,2024-01-03 09:14:17+00:00,9.66894736842105,0.11947368421052636,30.84894736842105,0.0,19.281315789473673,19.05684210526315,-0.03000000000000002,-0.567368421052632,3.6e-05,8.2e-05,0.000199,11.567631578947378,1
2024-01-03 09:15:48+00:00,2024-01-03 09:15:48+00:00,9.34,0.11333333333333334,25.66,0.0,19.38888888888889,19.292222222222225,-0.023333333333333334,-0.5666666666666667,0.000629,5e-05,7e-05,6.271111111111111,1
2024-01-03 09:15:49+00:00,2024-01-03 09:15:49+00:00,9.435636363636359,0.11727272727272733,25.660363636363652,0.0,19.391999999999985,19.31,-0.021454545454545466,-0.5672727272727274,2.4e-05,6.5e-05,7.3e-05,6.268363636363667,1
2024-01-03 09:15:51+00:00,2024-01-03 09:15:51+00:00,9.411463414634142,0.11975609756097567,25.650487804878043,0.0,19.390243902439018,19.309756097560967,-0.02000000000000001,-0.5441463414634148,5e-05,7.4e-05,0.000568,6.260243902439026,1
2024-01-03 09:15:52+00:00,2024-01-03 09:15:52+00:00,9.391315789473685,0.11973684210526322,25.643421052631567,0.0,19.391578947368416,19.306052631578954,-0.020526315789473695,-0.5431578947368423,7.8e-05,8e-05,0.000281,6.251842105263151,1
2024-01-03 09:15:53+00:00,2024-01-03 09:15:53+00:00,9.341714285714286,0.12000000000000005,25.64485714285714,0.0,19.386857142857135,19.30485714285715,-0.023142857142857156,-0.5028571428571428,3.6e-05,3.4e-05,3e-05,6.258000000000006,1
2024-01-03 09:15:54+00:00,2024-01-03 09:15:54+00:00,9.416875,0.1171875,25.653749999999995,0.0,19.39062499999999,19.312187500000007,-0.018125000000000006,-0.533125,3.5e-05,0.000101,3.8e-05,6.263125000000006,1
2024-01-03 09:15:56+00:00,2024-01-03 09:15:56+00:00,9.285862068965521,0.12551724137931036,25.648965517241372,0.0,19.385517241379304,19.296551724137935,-0.010000000000000004,-0.4120689655172415,0.0009,3.6e-05,0.000106,6.263448275862068,1
2024-01-03 09:15:57+00:00,2024-01-03 09:15:57+00:00,9.44666666666667,0.11962962962962963,25.65666666666666,0.0,19.38925925925925,19.308518518518515,-0.010000000000000002,-0.6262962962962964,7.7e-05,8.3e-05,0.000746,6.267407407407408,1
2024-01-03 09:15:58+00:00,2024-01-03 09:15:58+00:00,9.381111111111114,0.12333333333333334,25.65407407407408,0.0,19.412592592592596,19.312592592592598,-0.010000000000000002,-0.6299999999999999,3e-05,3.3e-05,4.6e-05,6.241481481481486,1
2024-01-03 09:16:00+00:00,2024-01-03 09:16:00+00:00,9.405384615384618,0.12038461538461544,25.64653846153846,0.0,19.415384615384628,19.308846153846158,-0.010000000000000002,-0.5111538461538461,4.3e-05,4.3e-05,5.8e-05,6.2311538461538305,1
