Index,Time,Applied torque,Pressure - leak line,Temperature - leak line,Pressure - output,Temperature - suction line,Temperature - output,Flow - leak line,Flow - output,Sensor 1,Sensor 2,Sensor 3,Temp. diff,stan
2025-01-22 08:40:48+00:00,2025-01-22 08:40:48+00:00,6.4815384615384595,0.1357692307692308,19.731153846153855,0.0,17.96269230769231,17.743076923076924,0.4800000000000003,-0.5661538461538463,5.2e-05,5.4e-05,6.9e-05,1.768461538461544,1
2025-01-22 08:40:49+00:00,2025-01-22 08:40:49+00:00,6.416862745098037,0.13764705882352937,19.762352941176456,0.0,17.975882352941188,17.754509803921565,0.48000000000000037,-0.5252941176470591,3.8e-05,3e-05,8.7e-05,1.786470588235268,1
2025-01-22 08:40:51+00:00,2025-01-22 08:40:51+00:00,6.486744186046509,0.13627906976744178,19.979069767441857,0.0,18.034883720930225,17.919999999999998,0.48000000000000037,-0.42511627906976746,8.4e-05,5.7e-05,3.8e-05,1.944186046511632,1
2025-01-22 08:40:52+00:00,2025-01-22 08:40:52+00:00,6.383658536585366,0.13390243902439022,19.78609756097561,0.0,17.95804878048781,17.74829268292683,0.4800000000000003,-0.7365853658536583,4.4e-05,0.000119,0.001014,1.8280487804877978,1
2025-01-22 08:40:53+00:00,2025-01-22 08:40:53+00:00,6.2936842105263135,0.13447368421052625,19.693157894736853,0.0,17.955263157894745,17.713947368421053,0.478947368421053,-0.6707894736842105,6.6e-05,0.000182,4.1e-05,1.737894736842108,1
2025-01-22 08:40:54+00:00,2025-01-22 08:40:54+00:00,6.338484848484844,0.13575757575757574,19.74969696969697,0.0,17.975151515151527,17.746666666666663,0.4800000000000003,-0.5209090909090908,0.000757,0.000233,0.000118,1.7745454545454429,1
2025-01-22 08:40:56+00:00,2025-01-22 08:40:56+00:00,6.431379310344829,0.13793103448275867,20.028965517241385,0.0,18.050344827586205,17.963793103448282,0.4800000000000003,-0.31586206896551716,5.9e-05,0.000249,4.9e-05,1.9786206896551803,1
2025-01-22 08:40:57+00:00,2025-01-22 08:40:57+00:00,25.343928571428574,0.14892857142857138,19.86785714285714,18.423214285714288,17.98535714285714,17.833571428571428,0.480714285714286,0.7949999999999998,0.000558,0.000878,0.00034,1.8825000000000003,1
2025-01-22 08:40:58+00:00,2025-01-22 08:40:58+00:00,22.292499999999997,0.1642857142857143,19.624642857142856,23.011428571428574,17.947142857142858,17.787500000000005,0.4800000000000003,13.492857142857142,0.000487,0.000595,0.000292,1.6774999999999984,1
2025-01-22 08:41:00+00:00,2025-01-22 08:41:00+00:00,24.04086956521739,0.1804347826086957,19.98304347826087,29.93304347826088,17.89434782608696,18.081739130434784,0.48434782608695676,35.6813043478261,0.001505,0.001564,0.00086,2.088695652173911,1
2025-01-22 08:41:01+00:00,2025-01-22 08:41:01+00:00,23.277727272727272,0.1863636363636364,20.483636363636364,33.98772727272728,17.92090909090909,18.05318181818182,0.48000000000000026,46.815909090909095,0.001279,0.001563,0.00086,2.562727272727276,1
