percent,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler
0.005,0.9856568474604085,0.02868630507918275,0.8370491803278689,0.5507660878447396,0.975,0.049999999999999996,0.8278489781780395,0.6191548320055421,SMOTE(random_state=21)
0.01,0.9806610845168844,0.025450766402943147,0.8559094968740697,0.6872758326216909,0.9652777777777779,0.04521894610027698,0.832351922410807,0.6828888119154832,SMOTE(random_state=21)
0.03,0.9857817522137292,0.010661592454129768,0.8545967622159513,0.7032117033798554,0.9805393457117596,0.02096295271349344,0.8304468306200208,0.6943193626602009,SMOTE(random_state=21)
0.05,0.9951187036925697,0.004566068841817736,0.8606459330143541,0.7095681625740897,0.9908562367864693,0.008518536836323792,0.8385867682715622,0.7029788708001385,SMOTE(random_state=21)
0.1,0.9961737194896989,0.0023919292211009974,0.8878619839802834,0.7357730695149711,0.9941379310344829,0.005015499822821016,0.8739175614825079,0.7386560443366816,SMOTE(random_state=21)
0.25,0.9988474552214228,0.0016813902540959247,0.8678109003312255,0.7114461960246744,0.9985089106822735,0.0027039991670434354,0.8479390370626949,0.7083477658469,SMOTE(random_state=21)
0.5,0.9996547746908846,0.0006904506182310755,0.8619709884851204,0.7121340328312743,0.9995402298850575,0.0009195402298850297,0.8401454797367509,0.7054035330793211,SMOTE(random_state=21)
1.0,0.999770114866599,0.00028155063814216556,0.8849992323046215,0.7297533671506035,0.9997701149425288,0.00028155054514748324,0.870280568063734,0.7324211984759266,SMOTE(random_state=21)
0.005,0.9522087035645036,0.06586739526723598,0.8036558462023322,0.5522501906941266,0.925,0.09999999999999999,0.7842050571527537,0.5933494977485279,BorderlineSMOTE(random_state=21)
0.01,0.9729845326229783,0.033207288009533556,0.8121546961325967,0.626890756302521,0.9527777777777778,0.05800170282728085,0.7762383096640111,0.6155178385867683,BorderlineSMOTE(random_state=21)
0.03,0.9817394444947396,0.011823651732851126,0.8439289384818676,0.6920265780730896,0.9728470380194519,0.019526650505965266,0.8158988569449255,0.6789054381711119,BorderlineSMOTE(random_state=21)
0.05,0.9951186376336235,0.004566085524870445,0.8505747126436781,0.6889153754469607,0.9930140215304609,0.009033802798579797,0.8266366470384483,0.6835815725666783,BorderlineSMOTE(random_state=21)
0.1,0.9968222993957353,0.0020202547678684368,0.9117693648027879,0.7362030905077263,0.9963084736701416,0.004437198672851848,0.9035330793210945,0.7516453065465881,BorderlineSMOTE(random_state=21)
0.25,0.9982727328205601,0.0014134199034964367,0.877454711523824,0.7144351464435147,0.9979331386604503,0.0025280271131738227,0.8605819189470039,0.7163145133356426,BorderlineSMOTE(random_state=21)
0.5,0.9987928691855137,0.0006897079915457289,0.8660645951324047,0.6998946998946999,0.9988505747126437,0.0007269603816478814,0.8484586075510911,0.7038448216141323,BorderlineSMOTE(random_state=21)
1.0,0.9997700486555307,0.00028163174926613114,0.8849992323046215,0.7297533671506035,0.9997699826726454,0.00028171261963820814,0.870280568063734,0.7324211984759266,BorderlineSMOTE(random_state=21)
0.005,0.9127506084961766,0.0565021882006948,0.7742682321812469,0.38764411572764845,0.86,0.0845576726264388,0.7635954277797021,0.5124696917215102,EditedNearestNeighbours()
0.01,0.9603207024145984,0.025701626528478946,0.8347194919098745,0.5808471454880295,0.9291666666666666,0.04444444444444445,0.8107031520609629,0.6058191894700381,EditedNearestNeighbours()
0.03,0.9853040124113488,0.015989788478122983,0.8420425785320828,0.6550233442849732,0.9730769230769232,0.02878197989826107,0.8162452372705231,0.6544856252164877,EditedNearestNeighbours()
0.05,0.9912218992420396,0.007544800862242537,0.8512850987966127,0.6843627701208099,0.9837209302325581,0.013953488372093047,0.8266366470384482,0.6787322480083131,EditedNearestNeighbours()
0.1,0.9949026023076101,0.002540547509781414,0.8704318936877077,0.7143348229632176,0.9918255827795687,0.0029512450619701663,0.85140284031867,0.7121579494284724,EditedNearestNeighbours()
0.25,0.9991359064164633,0.000705532119971984,0.8658554904611687,0.7096222867885832,0.9986196254174946,0.0011270777349187359,0.8453411846207135,0.7057499134049185,EditedNearestNeighbours()
0.5,0.9996551720721086,0.0004223263524411363,0.8783907345321549,0.713961209156037,0.999655172413793,0.0004597701149425148,0.8617942500865952,0.7164877034984414,EditedNearestNeighbours()
1.0,0.9997700486555307,0.00028163174926613114,0.8663760709454381,0.7229935658652218,0.9997699826726454,0.00028171261963820814,0.8460339452719086,0.71666089366124,EditedNearestNeighbours()
0.005,0.9127506084961764,0.0565021882006948,0.7795823665893271,0.4053702901689043,0.86,0.0845576726264388,0.7696570834776585,0.5244198129546241,TomekLinks()
0.01,0.9478249393955365,0.027139637474734468,0.8392638036809816,0.5774436090225564,0.9083333333333332,0.0424464077498226,0.8184967093869069,0.6106685140284032,TomekLinks()
0.03,0.9855541122240978,0.010715223731051523,0.8454041085620033,0.6517247417264928,0.973076923076923,0.01961161351381842,0.8214409421544857,0.6555247661932802,TomekLinks()
0.05,0.9938848607576748,0.003858930187730098,0.8449911084765857,0.6749404964297858,0.9885306553911205,0.007188160676532764,0.8188430897125043,0.6688604087287842,TomekLinks()
0.1,0.9948480242412001,0.006021686632939692,0.8668972777861332,0.7112555593568252,0.9918390804597701,0.011181964604152017,0.8467267059231036,0.7076550051957049,TomekLinks()
0.25,0.9988444529489305,0.00141525032444897,0.8665063138905592,0.7040220006875215,0.9981566820276498,0.002257594232979878,0.8462071354347074,0.7017665396605473,TomekLinks()
0.5,0.999481664477123,0.0010366710457538452,0.8792919273615138,0.7113528689243727,0.9993103448275862,0.0013793103448275891,0.8630065812261863,0.7151021821960513,TomekLinks()
1.0,0.9996551060888301,0.0002816047251990426,0.8849992323046215,0.7297533671506035,0.9996550401439096,0.00028165864658067735,0.870280568063734,0.7324211984759266,TomekLinks()
0.005,0.9856568474604085,0.02868630507918275,0.8416005291005291,0.5548679867986799,0.975,0.049999999999999996,0.8340838240387947,0.6262556286802909,ADASYN(random_state=21)
0.01,0.9680461419881489,0.028220028273111902,0.8552729436263573,0.6839945280437757,0.9430555555555555,0.049767980186580345,0.8314859715968133,0.6799445791479044,ADASYN(random_state=21)
0.03,0.9919226040452257,0.007660476413644005,0.8434017595307918,0.6966292134831461,0.9883465959328028,0.015299892737476735,0.8150329061309318,0.6820228611014895,ADASYN(random_state=21)
0.05,0.9928293778654875,0.009433868974774775,0.8606224627875507,0.700171526586621,0.9927308855407178,0.009465458583762888,0.839452719085556,0.6972635954277797,ADASYN(random_state=21)
0.1,0.9987290541280839,0.0015565844384454954,0.9139285141849656,0.7198186283771019,0.9977011494252874,0.002815505451474941,0.9069968825770696,0.7431589885694493,ADASYN(random_state=21)
0.25,0.9994242915525575,0.0007050979672105856,0.8671181339352897,0.7125021378484693,0.9990804549105821,0.0011262130920067267,0.847073086248701,0.7088673363352962,ADASYN(random_state=21)
0.5,0.9996549738950076,0.0004225689525856398,0.8621365074581889,0.7037418468932373,0.9995402298850575,0.0005631010902949665,0.841531001039141,0.7010737790093522,ADASYN(random_state=21)
1.0,,,0.8849992323046215,0.7297533671506035,,,0.870280568063734,0.7324211984759266,ADASYN(random_state=21)
