percent,training_samples_after,training_samples_before,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler,Seed
0.005,4370,4370,0.9091792459457295,0.0873600796824206,0.780852417302799,0.5036111653328128,0.865,0.12409673645990858,0.7613439556633184,0.559577416002771,no Sampler(),19
0.01,4392,4392,0.960320636507381,0.02570177230239641,0.7585996025072619,0.4940652818991098,0.9291666666666666,0.04444444444444445,0.7265327329407689,0.5275372358850017,no Sampler(),19
0.03,4479,4479,0.9897521563072539,0.00920132984787891,0.7431111111111111,0.4933404368673415,0.9807692307692308,0.017200522903844526,0.6996882577069623,0.5058884655351576,no Sampler(),19
0.05,4566,4566,0.996297307456296,0.004971682469455526,0.7717952500368785,0.5281951564433446,0.993076109936575,0.009276463183695075,0.7320748181503292,0.5377554554901282,no Sampler(),19
0.1,4783,4783,0.9980867938376319,0.0025537780700980186,0.795593635250918,0.5280478683620045,0.9965517241379309,0.004597701149425287,0.7686179425008659,0.5628680290959474,no Sampler(),19
0.25,5436,5436,0.9997126766886517,0.0005746466226967062,0.8626628725475513,0.7018803418803419,0.9995412844036696,0.0009174311926605226,0.8411846207135434,0.6979563560789748,no Sampler(),19
0.5,6523,6523,0.999482659361297,0.0006897048288945051,0.8797313797313797,0.7305430646835005,0.999425287356322,0.0007269603816478813,0.8635261517145827,0.7301697263595428,no Sampler(),19
1.0,8698,8698,0.999770114866599,0.00028155063814216556,0.8949843260188087,0.7156130442703589,0.9997701149425288,0.00028155054514748324,0.8839625909248354,0.7296501558711466,no Sampler(),19
0.005,8698,4370,0.9856568474604085,0.02868630507918275,0.7327108257951561,0.4737304515902302,0.975,0.049999999999999996,0.6827156217526844,0.4812954624177347,RandomOverSampler(random_state=19),19
0.01,8698,4392,0.9873360378254563,0.015559611754269722,0.7443365695792881,0.4924055104203462,0.9873850574712645,0.02494352188287087,0.6989954970557672,0.5022514721163838,RandomOverSampler(random_state=19),19
0.03,8698,4479,0.9960374806667438,0.004854482645980771,0.7448950244463618,0.5095628415300546,0.9960389036251105,0.007638080352733785,0.6927606511950122,0.5025978524419813,RandomOverSampler(random_state=19),19
0.05,8698,4566,0.9950892283959221,0.0046493144293272394,0.7710021321961621,0.571145265245414,0.9929083132852178,0.009218582272983174,0.7209906477312089,0.5505715275372358,RandomOverSampler(random_state=19),19
0.1,8698,4783,0.9987355279687217,0.0015486894631782408,0.8302941176470588,0.6426621160409556,0.9987354999140245,0.002252363877135573,0.800138552130239,0.6373397990994112,RandomOverSampler(random_state=19),19
0.25,8698,5436,0.9994252212594106,0.0007039573147218645,0.8504797047970479,0.7118756202447899,0.9997701149425288,0.00028155054514748324,0.8245583650848631,0.6983027364045722,RandomOverSampler(random_state=19),19
0.5,8698,6523,0.9996549078360613,0.0004226498708474275,0.8878274268104777,0.7251854468385729,0.9995402298850575,0.0005631010902949665,0.8739175614825078,0.7305161066851402,RandomOverSampler(random_state=19),19
1.0,8698,8698,0.9998850574332995,0.0002298851334010976,0.8949843260188087,0.7156130442703589,0.9998850574712644,0.00022988505747125742,0.8839625909248354,0.7296501558711466,RandomOverSampler(random_state=19),19
0.005,42,4370,0.5684631472521675,0.025172784327959125,0.7439831104855735,0.6548085619535725,0.9123490469954895,0.08754204096024464,0.6849670938690682,0.6033945271908556,RandomUnderSampler(random_state=19),19
0.01,86,4392,0.8237245111823144,0.05958574306971663,0.7804808649879073,0.6681168427594779,0.9820954525614063,0.024734548807225837,0.7327675788015241,0.6300658122618635,RandomUnderSampler(random_state=19),19
0.03,260,4479,0.9689025884541683,0.03145899229047352,0.7779043280182233,0.6639688715953307,0.9868512849001719,0.016661226582096754,0.7298233460339453,0.6260824385174922,RandomUnderSampler(random_state=19),19
0.05,434,4566,0.9872223791437456,0.013373974955325914,0.7801699716713881,0.6266943071280497,0.9965243319678775,0.005332164850612508,0.7312088673363353,0.5945618288881191,RandomUnderSampler(random_state=19),19
0.1,868,4783,0.9943902906629865,0.006896414986360532,0.7983917288914417,0.650975334515557,0.9968965517241379,0.0036456900062422277,0.7568410114305508,0.6250432975406996,RandomUnderSampler(random_state=19),19
0.25,2174,5436,0.9991388202347558,0.0011478282752254102,0.8388225007286505,0.7094266277939747,0.999655172413793,0.00045977011494251484,0.8084516799445791,0.6892968479390371,RandomUnderSampler(random_state=19),19
0.5,4348,6523,0.9991378311295547,0.0005454295491411935,0.8715235792019347,0.7401282483968951,0.9993102125577028,0.0004300402909978286,0.8527883616210599,0.7332871492899203,RandomUnderSampler(random_state=19),19
1.0,8698,8698,0.9998849912222312,0.00023001755553773152,0.8934901960784314,0.7151183970856102,0.9998849252013808,0.00023014959723819395,0.8824038794596467,0.7291305853827503,RandomUnderSampler(random_state=19),19
0.005,8698,4370,0.9744882320364742,0.03164600561972855,0.7269780462649182,0.4446444644464446,0.9550000000000001,0.055677643628300216,0.6790786283339106,0.4657083477658469,"SMOTE(k_neighbors=3, random_state=19)",19
0.01,8698,4392,0.9932758950794562,0.013448209841087522,0.7419165196942975,0.49269237541820743,0.9875,0.024999999999999998,0.6958780741253896,0.5010391409767925,"SMOTE(k_neighbors=3, random_state=19)",19
0.03,8698,4479,0.9874747895352453,0.0157792604740327,0.7471297359357061,0.5240912933220625,0.9806542882404952,0.029718781017175937,0.6948389331485971,0.5124696917215102,"SMOTE(k_neighbors=3, random_state=19)",19
0.05,8698,4566,0.9963522980164743,0.0029787444884282976,0.7745959739155089,0.5801576872536137,0.9931289640591967,0.005611007199615313,0.7246276411499827,0.5573259438863873,"SMOTE(k_neighbors=3, random_state=19)",19
0.1,8698,4783,0.99872226677359,0.002555466452820099,0.8298816568047337,0.6448518074353263,0.99872226677359,0.002555466452820099,0.800831312781434,0.640976792518185,"SMOTE(k_neighbors=3, random_state=19)",19
0.25,8698,5436,0.9991399190607206,0.0011446707685561135,0.8603468899521531,0.7033004423273223,0.9993092854494412,0.0009213947125883593,0.8382403879459647,0.6979563560789748,"SMOTE(k_neighbors=3, random_state=19)",19
0.5,8698,6523,0.9994825929606661,0.0004224613023689677,0.8901591225088831,0.7253371185237757,0.999425287356322,0.0005140386155171775,0.8768617942500866,0.7319016279875303,"SMOTE(k_neighbors=3, random_state=19)",19
1.0,8698,8698,0.9997700488076525,0.00028163156286627525,0.8949843260188087,0.7156130442703589,0.9997701149425288,0.00028155054514748324,0.8839625909248354,0.7296501558711466,"SMOTE(k_neighbors=3, random_state=19)",19
0.005,8698,4370,0.9522087035645035,0.06586739526723598,0.7242798353909465,0.44667143879742305,0.925,0.1,0.6750952545895393,0.4644960166262556,SMOTE(random_state=19),19
0.01,8698,4392,0.9688303896546927,0.028217299916461956,0.74376751733294,0.49194262440233755,0.9554406130268198,0.05433966043726465,0.6991686872185661,0.5031174229303775,SMOTE(random_state=19),19
0.03,8698,4479,0.9940191920401947,0.004885175767029596,0.7506833549129621,0.5286343612334802,0.9921927497789568,0.009329624697350871,0.699861447869761,0.5181849670938691,SMOTE(random_state=19),19
0.05,8698,4566,0.9975861407996405,0.002956361675901785,0.779430514237144,0.5978844589096827,0.9976123301985371,0.004493499540974107,0.7303429165223415,0.5720471077242812,SMOTE(random_state=19),19
0.1,8698,4783,0.9980868597448496,0.0025535795141831785,0.8314803978935049,0.6524966261808367,0.9965517241379309,0.004597701149425287,0.8004849324558365,0.6432282646345688,SMOTE(random_state=19),19
0.25,8698,5436,0.9994252775991372,0.0007038957604095373,0.8557849398485073,0.7119210834308644,0.9994242279781769,0.0008923926332859185,0.8318323519224108,0.7015933494977485,SMOTE(random_state=19),19
0.5,8698,6523,0.9998274869475038,0.00034502610499238524,0.8842137592137592,0.7084962673302524,0.9997701149425288,0.00045977011494251484,0.8694146172497402,0.715968133010045,SMOTE(random_state=19),19
1.0,8698,8698,0.9998849912222312,0.00023001755553773152,0.8949843260188087,0.7156130442703589,0.9998849252013808,0.00023014959723819395,0.8839625909248354,0.7296501558711466,SMOTE(random_state=19),19
0.005,8698,4370,0.9461987523920816,0.048129904370150065,0.7216192431798182,0.44689950106913756,0.9099999999999999,0.0784219357067906,0.6712850710079667,0.46241773467267056,"SMOTE(k_neighbors=7, random_state=19)",19
0.01,8698,4392,0.9761590038314176,0.029281601362113663,0.7382570162481537,0.476275419193721,0.9665517241379311,0.04450247235769777,0.6931070315206096,0.49151368202286116,"SMOTE(k_neighbors=7, random_state=19)",19
0.03,8698,4479,0.9919226701041721,0.007660459046935907,0.748522841908056,0.525886946189102,0.9883465959328028,0.015299892737476735,0.697783165916176,0.5162798753030828,"SMOTE(k_neighbors=7, random_state=19)",19
0.05,8698,4566,0.9963256991999672,0.004887712483924387,0.7731402612152186,0.5811853554424561,0.9931289640591967,0.009117910635453622,0.7232421198475927,0.558191894700381,"SMOTE(k_neighbors=7, random_state=19)",19
0.1,8698,4783,0.9980867938376319,0.0025537780700980186,0.8321146534074291,0.6441426146010186,0.9965517241379309,0.004597701149425287,0.8011776931070316,0.6369934187738137,"SMOTE(k_neighbors=7, random_state=19)",19
0.25,8698,5436,0.9994222264744653,0.0011555470510694389,0.8548483045806068,0.7110813525276197,0.9990783410138249,0.0018433179723502226,0.830966401108417,0.7010737790093523,"SMOTE(k_neighbors=7, random_state=19)",19
0.5,8698,6523,0.9996551058610403,0.00042240737939898724,0.884692154153232,0.7195487396439274,0.9996550401439096,0.0004598363212220923,0.8699341877381365,0.724454450987184,"SMOTE(k_neighbors=7, random_state=19)",19
