percent,training_samples_after,training_samples_before,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler,Seed
0.03,8698,4479,0.9959634888058485,0.0049436963844552055,0.8348052700159259,0.6836768073274452,0.9923076923076923,0.009421114395319882,0.8023900242466229,0.6650502251472117,"SMOTE(k_neighbors=7, random_state=31)",31
0.05,8698,4566,0.9975591615577079,0.002989708706679445,0.8275466284074605,0.6970663265306123,0.995401691331924,0.00563237497029904,0.7918254243158989,0.6709386906823692,"SMOTE(k_neighbors=7, random_state=31)",31
0.1,8698,4783,0.9974379580005964,0.0037433352768934383,0.8398659478362233,0.6923961241583183,0.9954022988505746,0.006702243557293422,0.8096640110841704,0.6756148250779356,"SMOTE(k_neighbors=7, random_state=31)",31
0.25,8698,5436,0.9991348371041706,0.0011548019953724132,0.8345636126791142,0.7010808194870141,0.9986196254174946,0.0018422655719366099,0.8020436439210252,0.6790786283339106,"SMOTE(k_neighbors=7, random_state=31)",31
0.5,8698,6523,0.9994821296722243,0.0006906318324255185,0.8474775702309163,0.7037220843672457,0.9993103448275862,0.0009195402298850297,0.820401801177693,0.6898164184274334,"SMOTE(k_neighbors=7, random_state=31)",31
1.0,8698,8698,0.999884991374353,0.00023001725129385698,0.8558277654046028,0.7239609206822322,0.9998850574712644,0.00022988505747125742,0.8318323519224108,0.7112919986144787,"SMOTE(k_neighbors=7, random_state=31)",31
0.005,8698,4370,0.9856568474604087,0.02868630507918275,0.9100946372239748,0.787719298245614,0.975,0.049999999999999996,0.9012816072047107,0.7904399030135087,"SMOTE(k_neighbors=9, random_state=31)",31
0.01,8698,4392,0.9768942979110997,0.021191107823712994,0.8767289861681107,0.7581919005209209,0.9665517241379311,0.027311209140444232,0.8595427779702114,0.7507793557325944,"SMOTE(k_neighbors=9, random_state=31)",31
0.03,8698,4479,0.994162866355422,0.007695088793930194,0.8333815446919294,0.6768372703412073,0.995923696556608,0.007590328811346345,0.8004849324558365,0.6588153792864566,"SMOTE(k_neighbors=9, random_state=31)",31
0.05,8698,4566,0.9951186376336235,0.004566085524870445,0.8261928643072073,0.688230584467574,0.9930140215304609,0.009033802798579797,0.7899203325251125,0.6627987530308279,"SMOTE(k_neighbors=9, random_state=31)",31
0.1,8698,4783,0.9974446261693348,0.002390242327521716,0.8329479768786127,0.6764995083579154,0.9953889334402565,0.004304409192323748,0.7997921718046415,0.6581226186352616,"SMOTE(k_neighbors=9, random_state=31)",31
0.25,8698,5436,0.9988485195307344,0.0010771551393799104,0.8377906976744186,0.6970832654391397,0.998504682888759,0.0012391581587841841,0.8067197783165916,0.6780394873571182,"SMOTE(k_neighbors=9, random_state=31)",31
0.5,8698,6523,0.999482394783565,0.00042262290669861413,0.8430598215591634,0.7060363160477671,0.999425287356322,0.0005140386155171775,0.814166955316938,0.6887772774506409,"SMOTE(k_neighbors=9, random_state=31)",31
1.0,8698,8698,0.9997700486555307,0.00028163174926613114,0.8558277654046028,0.7239609206822322,0.9997699826726454,0.00028171261963820814,0.8318323519224108,0.7112919986144787,"SMOTE(k_neighbors=9, random_state=31)",31
0.005,8698,4370,0.9270937610357679,0.06679074625630822,0.9140096618357488,0.7060629316960859,0.885,0.10198039027185568,0.9075164530654659,0.7346726705923103,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.01,8698,4392,0.9737198927616069,0.026439416360378158,0.910126582278481,0.794961511546536,0.9527777777777778,0.04614791034954486,0.9016279875303083,0.7970211291998615,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.03,8698,4479,0.9938669668698257,0.008210380387981215,0.8358944621629458,0.6885513637105993,0.9884615384615385,0.01538461538461537,0.8039487357118116,0.669726359542778,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.05,8698,4566,0.9937995659287282,0.006914633337410814,0.848270787343635,0.7107084019769357,0.9906355860124906,0.01347497877785936,0.8214409421544856,0.6958780741253896,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.1,8698,4783,0.9954485092007467,0.006093608547408956,0.8495653455134816,0.6977985323549033,0.9918871959369152,0.010789090368094426,0.8231728437824732,0.6861794250086595,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.25,8698,5436,0.9982737995809228,0.0010746521801121563,0.8357733004783302,0.7053513862024501,0.9975872516960985,0.001468367129711389,0.8037755455490128,0.6834083824038795,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.5,8698,6523,0.9993100790307722,0.0006451848744083008,0.8523569522680107,0.7218094766386,0.9993098151385137,0.0006705884577789498,0.827502597852442,0.7081745756841011,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
1.0,8698,8698,0.9996549741230591,0.0006900517538815266,0.8558277654046028,0.7239609206822322,0.9996550401439096,0.0006899197121807532,0.8318323519224108,0.7112919986144787,"BorderlineSMOTE(k_neighbors=3, random_state=31)",31
0.005,8698,4370,0.9171156218781086,0.07119551304931597,0.9019922879177378,0.6735248447204969,0.8898850574712643,0.11011251287123464,0.8943540006927606,0.7086941461724974,BorderlineSMOTE(random_state=31),31
0.01,8698,4392,0.9755054749294285,0.02342017316746302,0.903387703889586,0.7835768963117606,0.9665517241379309,0.044358749462376834,0.8933148597159681,0.7845514374783513,BorderlineSMOTE(random_state=31),31
0.03,8698,4479,0.9959635548647949,0.0049436154779960466,0.8461425422483468,0.6794483686511941,0.9923076923076923,0.009421114395319882,0.8186698995497056,0.6698995497055766,BorderlineSMOTE(random_state=31),31
0.05,8698,4566,0.9963784420125696,0.004861856459361629,0.8404022737210319,0.6978723404255319,0.9953394706559264,0.0090361198754433,0.8103567717353655,0.6802909594735019,BorderlineSMOTE(random_state=31),31
0.1,8698,4783,0.9980935151331796,0.0015566383800215671,0.8486542138549786,0.7000996346728662,0.9965517241379309,0.002815505451474941,0.8217873224800831,0.6872185659854521,BorderlineSMOTE(random_state=31),31
0.25,8698,5436,0.998559136144275,0.001579551870464777,0.8357733004783302,0.6996924073174681,0.9977043081215914,0.002512492352970896,0.8037755455490128,0.6787322480083131,BorderlineSMOTE(random_state=31),31
0.5,8698,6523,0.9986180914240759,0.0016035203015759179,0.8540460282108389,0.7196416721964167,0.9985056148565533,0.0021686752278166736,0.8297540699688257,0.7073086248701074,BorderlineSMOTE(random_state=31),31
1.0,8698,8698,0.9997700486555307,0.00028163174926613114,0.8558277654046028,0.7239609206822322,0.9997699826726454,0.00028171261963820814,0.8318323519224108,0.7112919986144787,BorderlineSMOTE(random_state=31),31
0.005,8698,4370,0.9270937610357679,0.06679074625630822,0.9042022218644341,0.677933177933178,0.885,0.10198039027185568,0.896951853134742,0.7128507100796675,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.01,8698,4392,0.9814452662762108,0.025056163486455257,0.8956197576887233,0.7768794082229485,0.9666666666666666,0.04444444444444447,0.883616210599238,0.7753723588500173,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.03,8698,4479,0.9979817774323975,0.0040364451352051575,0.8436171771947824,0.6732806457037162,0.9961538461538462,0.007692307692307665,0.8152060962937305,0.6634915136820229,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.05,8698,4566,0.9963792772584071,0.0029563077414580807,0.8472283487722394,0.7009113504556752,0.9953396029258098,0.005477193679013349,0.8200554208520956,0.6873917561482508,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.1,8698,4783,0.9968088120381966,0.0028576272301780664,0.8436448734825216,0.6891062841983088,0.9952606255012029,0.004379383041026605,0.814859715968133,0.675268444752338,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.25,8698,5436,0.9994242915525575,0.0007050979672105855,0.8301180535560034,0.694198939418287,0.9990804549105821,0.0011262130920067267,0.7956356078974715,0.670419120193973,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.5,8698,6523,0.9991380944946291,0.0007707647153486065,0.8515995260663507,0.7065888240200167,0.9991952700289671,0.0006898315604381273,0.8264634568756495,0.6953585036369934,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
1.0,8698,8698,0.9998850574332995,0.0002298851334010976,0.8558277654046028,0.7239609206822322,0.9998850574712644,0.00022988505747125742,0.8318323519224108,0.7112919986144787,"BorderlineSMOTE(k_neighbors=7, random_state=31)",31
0.005,8698,4370,0.9270937610357679,0.06679074625630822,0.8984674329501916,0.6746062235881675,0.885,0.10198039027185568,0.8898510564599931,0.7066158642189124,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.01,8698,4392,0.9772210290857837,0.019878775292108936,0.8830015313935682,0.7641477465266011,0.9761590038314176,0.02881675012913788,0.8676827156217527,0.7589192933841358,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.03,8698,4479,0.9938669668698257,0.008210380387981215,0.8226059654631083,0.6672051696284329,0.9884615384615385,0.01538461538461537,0.7847246276411499,0.6432282646345687,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.05,8698,4566,0.9975591615577079,0.002989708706679445,0.8503170623801799,0.7118307997356246,0.995401691331924,0.00563237497029904,0.8242119847592657,0.6979563560789748,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.1,8698,4783,0.9967821620304598,0.005000640743347806,0.8397613156745743,0.7024739583333334,0.9942528735632183,0.008903409991281407,0.8093176307585729,0.6834083824038795,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.25,8698,5436,0.999134903163117,0.0011547692943094353,0.8298791018998273,0.6962796664528544,0.9986196254174946,0.0018422655719366099,0.7952892275718739,0.6719778316591618,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.5,8698,6523,0.999482791137767,0.0004222995431963626,0.8498374224061483,0.7075236671649228,0.9995402298850575,0.00043007556169814116,0.8240387945964669,0.695012123311396,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
1.0,8698,8698,0.9997699826726454,0.0004600346547094514,0.8558277654046028,0.7239609206822322,0.9997701149425288,0.00045977011494251484,0.8318323519224108,0.7112919986144787,"BorderlineSMOTE(k_neighbors=9, random_state=31)",31
0.005,4370,4370,0.8936456171398628,0.06370997066574029,0.911869918699187,0.6798185046360229,0.835,0.09433981132056604,0.9061309317630759,0.7189123657776237,EditedNearestNeighbours(),31
0.01,4392,4392,0.9604889674772975,0.038667622125548105,0.9036105738233398,0.7535275792560014,0.9319444444444445,0.06460946305340563,0.8964322826463457,0.7670592310356772,EditedNearestNeighbours(),31
0.03,4479,4479,0.9959635548647949,0.0049436154779960466,0.8464879436872847,0.6549074397485155,0.9923076923076923,0.009421114395319882,0.8224800831312782,0.657776238309664,EditedNearestNeighbours(),31
0.05,4566,4566,0.9963253187745419,0.003000770939856695,0.8322944493915109,0.6561912894961571,0.993076109936575,0.005654156076243697,0.8042951160374091,0.6513682022861101,EditedNearestNeighbours(),31
0.1,4783,4783,0.9967958957352547,0.004056120054100476,0.8571001494768311,0.7084459459459459,0.9942528735632183,0.007269603816479006,0.8344302043643921,0.7010737790093522,EditedNearestNeighbours(),31
0.25,5434,5436,0.9991359748082467,0.0011515631854192353,0.8545157941569035,0.7085771610098646,0.9986217393142519,0.0018359238973744453,0.8301004502944233,0.6981295462417735,EditedNearestNeighbours(),31
0.5,6521,6523,0.9993100799081699,0.00034496033054318327,0.8511518015357353,0.7106397083195227,0.9991954022988505,0.00045977011494251484,0.825424315898857,0.6976099757533772,EditedNearestNeighbours(),31
1.0,8695,8698,0.9998850574332995,0.0002298851334010976,0.8544754001185536,0.7146657798470236,0.9998850574712644,0.00022988505747125742,0.8299272601316245,0.7028056806373398,EditedNearestNeighbours(),31
0.005,4370,4370,0.8599157216987174,0.18244715918903887,0.911869918699187,0.6798185046360229,0.8300000000000001,0.17131841699011816,0.9061309317630759,0.7189123657776237,EditedNearestNeighbours(n_neighbors=5),31
0.01,4392,4392,0.9687813701606135,0.019999003857408562,0.9036105738233398,0.7535275792560014,0.9430555555555555,0.0352460487234709,0.8964322826463457,0.7670592310356772,EditedNearestNeighbours(n_neighbors=5),31
0.03,4479,4479,0.9875722031286026,0.012194037854768665,0.8464879436872847,0.6549074397485155,0.976923076923077,0.022426738057097315,0.8224800831312782,0.657776238309664,EditedNearestNeighbours(n_neighbors=5),31
0.05,4566,4566,0.9962703282143636,0.004984613011657349,0.8322944493915109,0.6561912894961571,0.9930232558139535,0.009302325581395366,0.8042951160374091,0.6513682022861101,EditedNearestNeighbours(n_neighbors=5),31
0.1,4783,4783,0.9961670642530975,0.0031295789415359343,0.8571001494768311,0.7084459459459459,0.9931034482758619,0.005631010902949828,0.8344302043643921,0.7010737790093522,EditedNearestNeighbours(n_neighbors=5),31
0.25,5433,5436,0.9988505011576081,0.0010739799150085083,0.8505611340815121,0.7127501240284438,0.9985066645156329,0.00123695000622111,0.824731555247662,0.699168687218566,EditedNearestNeighbours(n_neighbors=5),31
0.5,6518,6523,0.9991368353637553,0.0005466914957618019,0.849145550972304,0.7163982911600394,0.9989643255933508,0.0007641204582919475,0.8226532732940769,0.7010737790093522,EditedNearestNeighbours(n_neighbors=5),31
1.0,8690,8698,0.999770114866599,0.00028155063814216556,0.8512335647806175,0.715347761440608,0.9997701149425288,0.00028155054514748324,0.8255975060616556,0.7015933494977484,EditedNearestNeighbours(n_neighbors=5),31
