percent,training_samples_after,training_samples_before,f1_macro_mean,f1_macro_std,f1_macro_UT2,f1_macro_UT3,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_UT2,balanced_accuracy_UT3,Sampler
0.005,8698,4370,0.9856568474604085,0.02868630507918275,0.8399538486896324,0.5509573810994441,0.975,0.049999999999999996,0.8318323519224108,0.6222722549359196,"SMOTE(k_neighbors=3, random_state=21)"
0.01,8698,4392,0.9738880257064132,0.03910429450552074,0.8608617594254937,0.6888238333046324,0.9555555555555555,0.06478835438717004,0.8389331485971596,0.6870453758226533,"SMOTE(k_neighbors=3, random_state=21)"
0.03,8698,4479,0.9959635548647949,0.0049436154779960466,0.8634520054078414,0.709094011260877,0.9923076923076923,0.009421114395319882,0.8425701420159335,0.7047107724281261,"SMOTE(k_neighbors=3, random_state=21)"
0.05,8698,4566,0.9975591615577079,0.002989708706679445,0.8711693855770697,0.7092050209205021,0.995401691331924,0.00563237497029904,0.8536543124350537,0.71111880845168,"SMOTE(k_neighbors=3, random_state=21)"
0.1,8698,4783,0.9974775496341548,0.0023465747945684325,0.8821548821548821,0.727304408433525,0.9974712643678162,0.0026611119316759407,0.8666435746449601,0.7289573952199515,"SMOTE(k_neighbors=3, random_state=21)"
0.25,8698,5436,0.9988476529434671,0.001681017104911368,0.8637794095609171,0.7168725672702657,0.9985089106822734,0.0027039991670434354,0.8425701420159335,0.7102528576376862,"SMOTE(k_neighbors=3, random_state=21)"
0.5,8698,6523,0.9998274208885574,0.0003451582228851002,0.8665063138905592,0.7187765505522515,0.9997701149425288,0.00045977011494251484,0.8462071354347074,0.7133702805680637,"SMOTE(k_neighbors=3, random_state=21)"
1.0,8698,8698,0.9995400967029656,0.0005632642433839472,0.8849992323046215,0.7297533671506035,0.9995399653452905,0.0005634252392764163,0.870280568063734,0.7324211984759266,"SMOTE(k_neighbors=3, random_state=21)"
0.005,8698,4370,0.960541904931673,0.05123954086989137,0.8370491803278689,0.5507660878447396,0.9349999999999999,0.08306623862918074,0.8278489781780395,0.6191548320055421,SMOTE(random_state=21)
0.01,8698,4392,0.981396312689349,0.015257193312280268,0.8559094968740697,0.6872758326216909,0.9652777777777779,0.02846375212766556,0.832351922410807,0.6828888119154832,SMOTE(random_state=21)
0.03,8698,4479,0.9877261150383292,0.012094506559359277,0.8545967622159513,0.7032117033798554,0.9806542882404952,0.021067506482452297,0.8304468306200208,0.6943193626602009,SMOTE(random_state=21)
0.05,8698,4566,0.9913321288216576,0.0064214323799235504,0.8606459330143541,0.7095681625740897,0.9859844232217929,0.011383640906799103,0.8385867682715622,0.7029788708001385,SMOTE(random_state=21)
0.1,8698,4783,0.9974645540421087,0.0023673982882316293,0.8878619839802834,0.7357730695149711,0.9964366493393119,0.0029170394783538333,0.8739175614825079,0.7386560443366816,SMOTE(random_state=21)
0.25,8698,5436,0.9997116148639058,0.0005767702721883428,0.8678109003312255,0.7114461960246744,0.9995391705069124,0.0009216589861750891,0.8479390370626949,0.7083477658469,SMOTE(random_state=21)
0.5,8698,6523,0.9996549078360613,0.0004226498708474275,0.8619709884851204,0.7121340328312743,0.9995402298850575,0.0005631010902949665,0.8401454797367509,0.7054035330793211,SMOTE(random_state=21)
1.0,8698,8698,0.999770114866599,0.00028155063814216556,0.8849992323046215,0.7297533671506035,0.9997701149425288,0.00028155054514748324,0.870280568063734,0.7324211984759266,SMOTE(random_state=21)
0.005,8698,4370,0.9856568474604087,0.02868630507918275,0.8267936299458217,0.5380523731587561,0.975,0.049999999999999996,0.8172843782473156,0.6089366124004156,"SMOTE(k_neighbors=7, random_state=21)"
0.01,8698,4392,0.9796596178977139,0.028276385137655083,0.8472775564409031,0.6781725888324873,0.9638888888888889,0.049378857873975494,0.8207481815032907,0.6705923103567717,"SMOTE(k_neighbors=7, random_state=21)"
0.03,8698,4479,0.9854758128556778,0.012508895007322758,0.8511772545535318,0.6998491704374057,0.9730769230769232,0.023076923076923075,0.8259438863872532,0.6898164184274334,"SMOTE(k_neighbors=7, random_state=21)"
0.05,8698,4566,0.9951171074441533,0.00244358173467571,0.8609649782053209,0.7037290455011974,0.9929081810153344,0.005558529205735305,0.8397990994111535,0.7000346380325597,"SMOTE(k_neighbors=7, random_state=21)"
